date,location_0,location_1,location_2
2025-07-01,21.68,22.35,19.38
2025-07-02,24.36,24.49,22.63
2025-07-03,27.06,26.64,24.08
2025-07-04,20.72,21.52,17.67
2025-07-05,20.8,20.69,19.32
2025-07-06,25.03,24.78,24.18
2025-07-07,18.4,18.13,17.44
2025-07-08,15.49,15.55,13.74
2025-07-09,15.23,15.67,13.99
2025-07-10,16.7,16.83,14.58
2025-07-11,16.93,17.25,15.76
2025-07-12,17.78,17.62,15.92
2025-07-13,20.12,19.72,18.05
2025-07-14,22.38,21.76,20.32
2025-07-15,21.75,21.71,19.44
2025-07-16,19.3,19.05,16.4
2025-07-17,16.56,16.85,14.39
2025-07-18,17.79,18.48,16.39
2025-07-19,19.47,19.8,17.71
2025-07-20,21.73,22.48,20.06
2025-07-21,23.66,24.35,22.28
2025-07-22,20.29,20.21,18.97
2025-07-23,20.39,20.95,18.83
2025-07-24,20.59,20.72,19.15
2025-07-25,21.13,21.35,19.35
2025-07-26,20.7,20.96,18.45
2025-07-27,19.2,19.35,16.15
2025-07-28,18.48,18.93,16.16
2025-07-29,17.77,18.2,16.0
2025-07-30,17.65,18.03,15.82
2025-07-31,17.75,18.3,16.22
